Name|Ed.|Type|R|Mana cost|CMC|P|T|L|Ability
29711|Cephalid Broker|OD|Creature - Cephalid|U|3U|4|2|2||T: Target player draws two cards, then discards two cards.
29903|Cephalid Coliseum|OD|Land|U||0||||T: Add U to your mana pool. Cephalid Coliseum deals 1 damage to you.  Threshold - U, T, Sacrifice Cephalid Coliseum: Target player draws three cards, then discards three cards. Activate this ability only if seven or more cards are in your graveyard.
29821|Cephalid Looter|OD|Creature - Cephalid Rogue|C|2U|3|2|1||T: Target player draws a card, then discards a card.
31870|Cephalid Retainer|OD|Creature - Cephalid|R|2UU|4|2|3||UU: Tap target creature without flying.
29710|Cephalid Scout|OD|Creature - Cephalid Wizard Scout|C|1U|2|1|1||Flying  2U, Sacrifice a land: Draw a card.
29941|Cephalid Shrine|OD|Enchantment|R|1UU|3||||Whenever a player casts a spell, counter that spell unless that player pays X, where X is the number of cards in all graveyards with the same name as the spell.
29755|Chainflinger|OD|Creature - Beast|C|3R|4|2|2||1R, T: Chainflinger deals 1 damage to target creature or player.  Threshold - 2R, T: Chainflinger deals 2 damage to target creature or player. Activate this ability only if seven or more cards are in your graveyard.
31868|Chamber of Manipulation|OD|Enchantment - Aura|U|2UU|4||||"Enchant land  Enchanted land has ""T, Discard a card: Gain control of target creature until end of turn."""
29978|Chance Encounter|OD|Enchantment|R|2RR|4||||Whenever you win a coin flip, put a luck counter on Chance Encounter.  At the beginning of your upkeep, if Chance Encounter has ten or more luck counters on it, you win the game.
29899|Charmed Pendant|OD|Artifact|R|4|4||||T, Put the top card of your library into your graveyard: For each colored mana symbol in that card's mana cost, add one mana of that color to your mana pool. Activate this ability only any time you could cast an instant. (For example, if the card's mana cost is 3UUB, you add UUB to your mana pool.)
31444|Chatter of the Squirrel|OD|Sorcery|C|G|1||||Create a 1/1 green Squirrel creature token.  Flashback 1G (You may cast this card from your graveyard for its flashback cost. Then exile it.)
29836|Childhood Horror|OD|Creature - Horror|U|3B|4|2|2||Flying  Threshold - As long as seven or more cards are in your graveyard, Childhood Horror gets +2/+2 and can't block.
29986|Chlorophant|OD|Creature - Elemental|R|GGG|3|1|1||"At the beginning of your upkeep, you may put a +1/+1 counter on Chlorophant.  Threshold - As long as seven or more cards are in your graveyard, Chlorophant has ""At the beginning of your upkeep, you may put another +1/+1 counter on Chlorophant."""
30762|Coffin Purge|OD|Instant|C|B|1||||Exile target card from a graveyard.  Flashback B (You may cast this card from your graveyard for its flashback cost. Then exile it.)
29931|Cognivore|OD|Creature - Lhurgoyf|R|6UU|8|*|*||Flying  Cognivore's power and toughness are each equal to the number of instant cards in all graveyards.
30655|Concentrate|OD|Sorcery|U|2UU|4||||Draw three cards.
31769|Confessor|OD|Creature - Human Cleric|C|W|1|1|1||Whenever a player discards a card, you may gain 1 life.
29878|Crashing Centaur|OD|Creature - Centaur|U|4GG|6|3|4||G, Discard a card: Crashing Centaur gains trample until end of turn.  Threshold - As long as seven or more cards are in your graveyard, Crashing Centaur gets +2/+2 and has shroud. (It can't be the target of spells or abilities.)
29840|Crypt Creeper|OD|Creature - Zombie|C|1B|2|2|1||Sacrifice Crypt Creeper: Exile target card from a graveyard.
30012|Crystal Quarry|OD|Land|R||0||||T: Add C to your mana pool.  5, T: Add WUBRG to your mana pool.
30763|Cultural Exchange|OD|Sorcery|R|4UU|6||||Choose any number of creatures target player controls. Choose the same number of creatures another target player controls. Those players exchange control of those creatures. (This effect lasts indefinitely.)
29850|Cursed Monstrosity|OD|Creature - Horror|R|4B|5|4|3||Flying  Whenever Cursed Monstrosity becomes the target of a spell or ability, sacrifice it unless you discard a land card.
29793|Darkwater Catacombs|OD|Land|R||0||||1, T: Add UB to your mana pool.
30749|Darkwater Egg|OD|Artifact|U|1|1||||2, T, Sacrifice Darkwater Egg: Add UB to your mana pool. Draw a card.
29955|Decaying Soil|OD|Enchantment|R|1BB|3||||"At the beginning of your upkeep, exile a card from your graveyard.  Threshold - As long as seven or more cards are in your graveyard, Decaying Soil has ""Whenever a nontoken creature is put into your graveyard from the battlefield, you may pay 1. If you do, return that card to your hand."""
31798|Decimate|OD|Sorcery|R|2RG|4||||Destroy target artifact, target creature, target enchantment, and target land.
31794|Decompose|OD|Sorcery|U|1B|2||||Exile up to three target cards from a single graveyard.
31771|Dedicated Martyr|OD|Creature - Human Cleric|C|W|1|1|1||W, Sacrifice Dedicated Martyr: You gain 3 life.
29884|Deep Reconnaissance|OD|Sorcery|U|2G|3||||Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.  Flashback 4G (You may cast this card from your graveyard for its flashback cost. Then exile it.)
29916|Delaying Shield|OD|Enchantment|R|3W|4||||If damage would be dealt to you, put that many delay counters on Delaying Shield instead.  At the beginning of your upkeep, remove all delay counters from Delaying Shield. For each delay counter removed this way, you lose 1 life unless you pay 1W.
31816|Deluge|OD|Instant|U|2U|3||||Tap all creatures without flying.
29826|Dematerialize|OD|Sorcery|C|3U|4||||Return target permanent to its owner's hand.  Flashback 5UU (You may cast this card from your graveyard for its flashback cost. Then exile it.)
29867|Demolish|OD|Sorcery|U|3R|4||||Destroy target artifact or land.
30545|Demoralize|OD|Instant|C|2R|3||||All creatures gain menace until end of turn. (They can't be blocked except by two or more creatures.)  Threshold - If seven or more cards are in your graveyard, creatures can't block this turn.
30013|Deserted Temple|OD|Land|R||0||||T: Add C to your mana pool.  1, T: Untap target land.
29909|Devoted Caretaker|OD|Creature - Human Cleric|R|W|1|1|2||W, T: Target permanent you control gains protection from instant spells and from sorcery spells until end of turn.
29954|Diabolic Tutor|OD|Sorcery|U|2BB|4||||Search your library for a card and put that card into your hand. Then shuffle your library.
29773|Diligent Farmhand|OD|Creature - Human Druid|C|G|1|1|1||1G, Sacrifice Diligent Farmhand: Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.  If Diligent Farmhand is in a graveyard, effects from spells named Muscle Burst count it as a card named Muscle Burst.
29729|Dirty Wererat|OD|Creature - Human Rat Minion|C|3B|4|2|3||B, Discard a card: Regenerate Dirty Wererat.  Threshold - As long as seven or more cards are in your graveyard, Dirty Wererat gets +2/+2 and can't block.
31824|Divert|OD|Instant|R|U|1||||Change the target of target spell with a single target unless that spell's controller pays 2.
29917|Divine Sacrament|OD|Enchantment|R|1WW|3||||White creatures get +1/+1.  Threshold - White creatures get an additional +1/+1 as long as seven or more cards are in your graveyard.
31789|Dogged Hunter|OD|Creature - Human Nomad|R|2W|3|1|1||T: Destroy target creature token.
31802|Dreamwinder|OD|Creature - Serpent|C|3U|4|4|3||Dreamwinder can't attack unless defending player controls an Island.  U, Sacrifice an Island: Target land becomes an Island until end of turn.
29778|Druid Lyrist|OD|Creature - Human Druid|C|G|1|1|1||G, T, Sacrifice Druid Lyrist: Destroy target enchantment.
31826|Druid's Call|OD|Enchantment - Aura|U|1G|2||||Enchant creature  Whenever enchanted creature is dealt damage, its controller creates that many 1/1 green Squirrel creature tokens.
31807|Dusk Imp|OD|Creature - Imp|C|2B|3|2|1||Flying
29760|Dwarven Grunt|OD|Creature - Dwarf|C|R|1|1|1||Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
29853|Dwarven Recruiter|OD|Creature - Dwarf|U|2R|3|2|2||When Dwarven Recruiter enters the battlefield, search your library for any number of Dwarf cards and reveal those cards. Shuffle your library, then put them on top of it in any order.
29977|Dwarven Shrine|OD|Enchantment|R|1RR|3||||Whenever a player casts a spell, Dwarven Shrine deals X damage to that player, where X is twice the number of cards in all graveyards with the same name as that spell.
31796|Dwarven Strike Force|OD|Creature - Dwarf Berserker|U|4R|5|4|3||Discard a card at random: Dwarven Strike Force gains first strike and haste until end of turn.
29918|Earnest Fellowship|OD|Enchantment|R|1W|2||||Each creature has protection from its colors.
29769|Earth Rift|OD|Sorcery|C|3R|4||||Destroy target land.  Flashback 5RR (You may cast this card from your graveyard for its flashback cost. Then exile it.)
32919|Elephant Ambush|OD|Instant|C|2GG|4||||Create a 3/3 green Elephant creature token.  Flashback 6GG (You may cast this card from your graveyard for its flashback cost. Then exile it.)
29752|Ember Beast|OD|Creature - Beast|C|2R|3|3|4||Ember Beast can't attack or block alone.
29703|Embolden|OD|Instant|C|2W|3||||Prevent the next 4 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.  Flashback 1W (You may cast this card from your graveyard for its flashback cost. Then exile it.)
31810|Engulfing Flames|OD|Instant|U|R|1||||Engulfing Flames deals 1 damage to target creature. It can't be regenerated this turn.  Flashback 3R (You may cast this card from your graveyard for its flashback cost. Then exile it.)
30552|Entomb|OD|Instant|R|B|1||||Search your library for a card and put that card into your graveyard. Then shuffle your library.
30547|Epicenter|OD|Sorcery|R|4R|5||||Target player sacrifices a land.  Threshold - Each player sacrifices all lands he or she controls instead if seven or more cards are in your graveyard.
31813|Escape Artist|OD|Creature - Human Wizard|C|1U|2|1|1||Escape Artist can't be blocked.  U, Discard a card: Return Escape Artist to its owner's hand.
30558|Execute|OD|Instant|U|2B|3||||Destroy target white creature. It can't be regenerated.  Draw a card.
29849|Extract|OD|Sorcery|R|U|1||||Search target player's library for a card and exile it. Then that player shuffles his or her library.
31738|Face of Fear|OD|Creature - Horror|U|5B|6|3|4||2B, Discard a card: Face of Fear gains fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)
29736|Famished Ghoul|OD|Creature - Zombie|U|3B|4|3|2||1B, Sacrifice Famished Ghoul: Exile up to two target cards from a single graveyard.
29724|Fervent Denial|OD|Instant|U|3UU|5||||Counter target spell.  Flashback 5UU (You may cast this card from your graveyard for its flashback cost. Then exile it.)
31804|Filthy Cur|OD|Creature - Hound|C|1B|2|2|2||Whenever Filthy Cur is dealt damage, you lose that much life.
30570|Firebolt|OD|Sorcery|C|R|1||||Firebolt deals 2 damage to target creature or player.  Flashback 4R (You may cast this card from your graveyard for its flashback cost. Then exile it.)
29767|Flame Burst|OD|Instant|C|1R|2||||Flame Burst deals X damage to target creature or player, where X is 2 plus the number of cards named Flame Burst in all graveyards.
31777|Fledgling Imp|OD|Creature - Imp|C|2B|3|2|2||B, Discard a card: Fledgling Imp gains flying until end of turn.
31626|Forest|OD|Basic Land - Forest|C||0||||G
29855|Frenetic Ogre|OD|Creature - Ogre|U|4R|5|2|3||R, Discard a card at random: Frenetic Ogre gets +3/+0 until end of turn.
29733|Frightcrawler|OD|Creature - Horror|C|1B|2|1|1||Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)  Threshold - As long as seven or more cards are in your graveyard, Frightcrawler gets +2/+2 and can't block.
28755|Gallantry|OD|Instant|U|1W|2||||Target blocking creature gets +4/+4 until end of turn.  Draw a card.
29744|Ghastly Demise|OD|Instant|C|B|1||||Destroy target nonblack creature if its toughness is less than or equal to the number of cards in your graveyard.
29980|Gorilla Titan|OD|Creature - Ape|U|3GG|5|4|4||Trample  Gorilla Titan gets +4/+4 as long as there are no cards in your graveyard.
29913|Graceful Antelope|OD|Creature - Antelope|R|2WW|4|1|4||Plainswalk (This creature can't be blocked as long as defending player controls a Plains.)  Whenever Graceful Antelope deals combat damage to a player, you may have target land become a Plains until Graceful Antelope leaves the battlefield.
29741|Gravedigger|OD|Creature - Zombie|C|3B|4|2|2||When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.
